             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
        17489223_1  parallel      300    ygu23  R      23:41      3 c[562-564]
        17489223_2  parallel      300    ygu23  R      23:41      3 c[242-244]
        17489223_3  parallel      300    ygu23  R      23:41      3 c[257-259]
        17488712_1  parallel      300    ygu23  R      34:02      3 c[570-572]
        17488712_2  parallel      300    ygu23  R      34:02      3 c[738-740]
        17488712_3  parallel      300    ygu23  R      34:02      3 c[530-532]
          17372968  parallel jupyter- ashargh1  R 1-22:02:24      1 c576
          17354448  parallel   tunnel   ywu308  R 2-21:11:00      1 c710
       17453215_76  parallel HT_aflow   coses1  R   10:28:06      1 c262
          17430252  parallel   tunnel xwang405  R   22:23:10      1 c669
          17398357  parallel complian  txiang5  R 1-08:27:44     32 c[003-005,074-080,406-413,456-462,539-545]
          17462022  parallel   run8-0  pmorra1  R    1:35:51     12 c[268-275,402-405]
          17443922  parallel     test   lzeng7  R   18:42:06      3 c[178,302,492]
          17443909  parallel     test   lzeng7  R   18:42:17      3 c[133,301,764]
          17443906  parallel     test   lzeng7  R   18:41:35      2 c[480-481]
          17443907  parallel     test   lzeng7  R   18:41:35      2 c[482-483]
          17443904  parallel     test   lzeng7  R   18:42:06      2 c[504,751]
          17443879  parallel     test   lzeng7  R   18:42:36      2 c[745,763]
          17443834  parallel     test   lzeng7  R   18:43:16      2 c[760-761]
          17443802  parallel     test   lzeng7  R   18:43:37      2 c[757-758]
          17443862  parallel     test   lzeng7  R   17:05:17      2 c[313-314]
          17448729  parallel     test hrouhan1  R   17:38:23      1 c064
          17448757  parallel     test hrouhan1  R   17:38:54      1 c064
          17449509  parallel     test hrouhan1  R   17:27:46      1 c064
          17449498  parallel     test hrouhan1  R   17:28:46      1 c064
          17449490  parallel     test hrouhan1  R   17:29:17      1 c064
          17449491  parallel     test hrouhan1  R   17:29:17      1 c064
          17449485  parallel     test hrouhan1  R   17:29:47      1 c064
          17449468  parallel     test hrouhan1  R   17:30:17      1 c064
          17449469  parallel     test hrouhan1  R   17:30:17      1 c064
          17449447  parallel     test hrouhan1  R   17:31:17      1 c064
          17449439  parallel     test hrouhan1  R   17:31:47      1 c064
          17449421  parallel     test hrouhan1  R   17:32:18      1 c064
          17449389  parallel     test hrouhan1  R   17:33:48      1 c064
          17449381  parallel     test hrouhan1  R   17:34:19      1 c064
          17448761  parallel     test hrouhan1  R   17:38:54      1 c064
          17448779  parallel     test hrouhan1  R   17:38:54      1 c064
          17398180  parallel     test hrouhan1  R 1-14:14:25      1 c590
          17398182  parallel     test hrouhan1  R 1-14:14:25      1 c590
          17398183  parallel     test hrouhan1  R 1-14:14:25      1 c590
          17462002  parallel   run7-0  pmorra1  R    4:47:36     12 c[103-111,138-140]
          17454245  parallel 79.45.25 apande14  R   13:43:16      4 c[514-517]
          17422467  parallel     dome    jseo2  R 1-00:44:37     10 c[083-092]
          17432046  parallel 80.35.35 apande14  R   21:52:00      4 c[367-370]
          17432019  parallel 74.45.15 apande14  R   21:52:31      4 c[394-397]
          17432020  parallel 75.55.15 apande14  R   21:52:31      4 c[398-401]
          17432023  parallel 78.35.25 apande14  R   21:52:31      4 c[247-250]
        17453215_1  parallel HT_aflow   coses1  R   15:29:16      1 c356
        17453215_2  parallel HT_aflow   coses1  R   15:29:16      1 c378
        17453215_3  parallel HT_aflow   coses1  R   15:29:16      1 c380
        17453215_4  parallel HT_aflow   coses1  R   15:29:16      1 c384
        17453215_5  parallel HT_aflow   coses1  R   15:29:16      1 c386
        17453215_6  parallel HT_aflow   coses1  R   15:29:16      1 c432
